p_id,question,q_num,q_type,stim1,stim2,stim3,stim4,key,response,RT,correct,subjectGroup,familiarity,vocabulary,comprehension,GMRT,GMRT_transformed,knowledge_transformed
130,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,8271,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
130,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,14320,1.0,NRP,98,43,34,77,-0.006198404045443575,2.31976914853545
75,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,8793,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,2950,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,9995,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,3,6458,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,4774,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,7029,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,10540,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,8366,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,4,15516,0.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,16763,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,11329,1.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
75,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,3,20160,0.0,NRP,10,44,45,89,1.291117127050344,-0.7798139781896306
60,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,3,10013,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,3049,1.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,1,8511,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,4,4122,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,5116,1.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,4,5544,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,5443,1.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,4,3893,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,4708,1.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,3,3515,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,3,4512,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
60,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,1,2431,0.0,RPp,28,25,14,39,-2.080422314302752,0.18677285906865898
189,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,8864,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,7129,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,8197,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,4,5540,0.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,4222,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,10120,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,4,7738,0.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,7700,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,5752,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,12837,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,5600,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
189,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,13847,1.0,RPp,10,44,43,87,1.0484749034277754,-0.7798139781896306
33,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,4984,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,4015,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,6588,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,3,2796,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,41865,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,4,8628,0.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,7316,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,2,6114,0.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,3,11078,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,3,12324,0.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,11341,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
33,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,16732,1.0,NRP,20,41,34,75,-0.18718007206746512,-0.18826077105983052
43,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,18358,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,6110,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,2,10370,0.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,4,12556,0.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,6056,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,4,10241,0.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,4,10137,0.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,6250,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,How do hormones affect the function of organs?,8,inference,They can only regulate organs that are next to them.,They affect all organs simultaneously.,They only regulate specific organs.,They send nerve impulses to target cells.,3.0,2,13396,0.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,What is the correct order of processes that underlie the Fight-or-Flight response?,9,inference,"Brain activity, release of hormones, change in heart rate","Change in breathing rate, release of hormone, brain activity","Change in heart rate, activation of target cells, release of hormones","Brain activity, change in heart rate, activation of target cells",1.0,1,6694,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,How are sweat glands and saliva glands different from endocrine glands? Sweat glands and saliva glands _____,7,inference,release chemicals on demand,deliver chemicals through ducts,store chemicals for longer periods of time,are triggered by the adrenal gland,2.0,2,6038,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
43,Which of the following would be true if the target cells for adrenaline in the heart did not exist?,11,inference,Adrenaline increases heart rate.,Adrenaline decreases heart rate.,Adrenaline increases stomach activity.,Adrenaline decreases stomach activity.,4.0,4,8070,1.0,NRP,10,37,20,57,-1.4231170318108741,-0.7798139781896306
172,"Target cells in the stomach respond to adrenaline by slowing down activity, so ______ can be sent to other muscles.",6,memory,more blood,less blood,more adrenaline,less adrenaline,1.0,1,7610,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,Where in the body do the endocrine glands release their chemicals?,4,memory,The ducts,The brain,The nerves,The bloodstream,4.0,4,9177,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,Where are the target cells located for the hormone adrenaline?,3,memory,Stomach and muscles,Heart and lungs,Sweat glands,"Stomach, muscles, heart, and lungs",4.0,4,9761,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,Which part of the brain releases hormones to start the fight-or-flight response?,1,memory,Amygdala,Pituitary gland,Hypothalamus,Adrenal gland,3.0,3,12537,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,What is the purpose of target cells?,5,memory,To maintain the endocrine system,To respond to hormones,To find glands,To produce chemicals,2.0,2,13496,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,What is one of the main functions of the endocrine system?,2,memory,To regulate the adrenal gland,To produce target cells,To control the body's response to an exciting situation,To make adrenaline,3.0,3,15016,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,What best describes the endocrine system?,10,inference,The endocrine system is located in our arms.,The endocrine system works using chemical messages.,The endocrine system is a system of muscles.,The endocrine system regulates heart rate using nerve impulses.,2.0,2,11951,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
172,Why are hormones released directly into the bloodstream?,12,inference,To reach the target cells of multiple organs and tissues.,To reach tissues as quickly as possible,To reach ducts,To attach to target cells in the bloodstream,1.0,1,17596,1.0,NRP,33,36,21,57,-1.4231170318108741,0.3950801326557072
